id,group,sex,age,purchasesYearly,averagePurchasesPrice,averagePagesPerVisit,supportRequestYearly,participationInSurveys,satisfactionRate,satisfactionDegree
160,2,1,37,33,423,10.4,15,3,36,low
161,2,2,42,31,699,31.1,20,2,100,high
162,2,1,45,38,773,23.2,13,2,100,high
163,2,1,40,33,614,28.4,16,2,100,high
164,2,2,37,35,637,25.5,25,3,85,high
165,2,2,46,44,517,23.9,28,3,88,high
166,2,1,36,29,632,21.7,18,1,70,average
167,2,2,39,32,566,21.3,12,2,77,high
168,2,2,37,29,782,23.2,20,4,69,average
169,2,2,38,31,487,29.4,16,4,100,high
170,2,1,45,29,603,26.1,20,3,84,high
171,2,2,38,40,519,22.7,15,2,98,high
172,2,2,37,40,667,21.5,22,4,77,high
173,2,2,40,31,487,28.9,18,3,100,high
174,2,1,37,36,766,22.1,19,1,81,high
175,2,2,45,29,606,20.1,23,3,57,low
176,2,2,39,36,784,19.6,19,2,70,average
177,2,1,43,34,514,23.2,23,2,75,high
178,2,2,42,36,547,23.7,13,3,100,high
179,2,1,46,42,656,14.5,20,2,61,low
180,2,1,41,35,529,18.9,15,3,79,high
181,2,2,41,29,637,27.9,23,4,83,high
182,2,1,39,28,519,19.1,16,2,58,low
183,2,1,41,40,671,18.3,19,1,80,high
184,2,2,37,34,573,28,8,2,100,high
185,2,2,43,37,607,17.1,11,3,84,high
186,2,1,41,39,670,21.8,23,3,80,high
187,2,2,42,33,734,21.6,14,3,84,high
188,2,2,39,34,601,24.6,17,3,93,high
189,2,2,43,30,467,25.5,20,2,81,high
190,2,1,46,20,623,21.9,13,3,58,low
191,2,2,38,33,516,19.9,21,3,64,low
192,2,2,42,31,471,20.9,16,2,77,high
193,2,2,36,35,543,28,16,4,100,high
194,2,1,45,29,657,23.5,22,1,67,average
195,2,2,52,30,696,29.1,18,2,99,high
196,2,2,43,40,609,21.9,24,4,76,high
197,2,1,38,23,665,22.5,17,3,58,low
198,2,2,40,31,611,27.2,19,2,96,high
199,2,1,40,45,558,23.8,13,1,100,high
200,2,1,43,39,566,23.7,18,2,97,high
